#student_1001.csv

id,1001
name,John
phone,222-21-23
Computers computer_serial_number,Computers computer_model,Computers computer_is_working
123432,Asus,true


#student_1002.csv

id,1001
name,Derek
phone,222-24-27
Computers computer_serial_number,Computers computer_model,Computers computer_is_working
213654213,HP,false


#student_1003.csv

id,1003
name,Morgan
phone,222-22-20
Computers computer_serial_number,Computers computer_model,Computers computer_is_working
213123,Samsung,true
